senador_name,0
ACIR GURGACZ,1
AÉCIO NEVES,2
ALOYSIO NUNES FERREIRA,3
ALVARO DIAS,4
ANA AMÉLIA,5
ÂNGELA PORTELA,6
ANTONIO ANASTASIA,7
ANTÔNIO CARLOS VALADARES,8
ARMANDO MONTEIRO,9
ATAÍDES OLIVEIRA,10
BENEDITO DE LIRA,11
BLAIRO MAGGI,12
CÁSSIO CUNHA LIMA,13
CIDINHO SANTOS,14
CIRO NOGUEIRA,15
CRISTOVAM BUARQUE,16
DALIRIO BEBER,17
DÁRIO BERGER,18
DAVI ALCOLUMBRE,19
DECA,20
DONIZETI NOGUEIRA,21
DOUGLAS CINTRA,22
EDISON LOBÃO,23
EDUARDO AMORIM,24
EDUARDO BRAGA,25
EDUARDO LOPES,26
ELMANO FÉRRER,27
FÁTIMA BEZERRA,28
FERNANDO BEZERRA COELHO,29
FERNANDO COLLOR,30
FLEXA RIBEIRO,31
GARIBALDI ALVES FILHO,32
GILBERTO PISELO,33
GLADSON CAMELI,34
GLEISI HOFFMANN,35
HÉLIO JOSÉ,36
HUMBERTO COSTA,37
IVO CASSOL,38
JADER BARBALHO,39
JOÃO ALBERTO SOUZA,40
JOÃO CAPIBERIBE,41
JORGE VIANA,42
JOSÉ AGRIPINO,43
JOSÉ ANÍBAL,44
JOSÉ MARANHÃO,45
JOSÉ MEDEIROS,46
JOSÉ PIMENTEL,47
JOSÉ SERRA,48
KÁTIA ABREU,49
LASIER MARTINS,50
LÍDICE DA MATA,51
LINDBERGH FARIAS,52
LÚCIA VÂNIA,53
MAGNO MALTA,54
MARCELO CRIVELLA,55
MARIA DO CARMO ALVES,56
MARTA SUPLICY,57
OMAR AZIZ,58
OTTO ALENCAR,59
PASTOR VALADARES,60
PAULO BAUER,61
PAULO PAIM,62
PAULO ROCHA,63
PEDRO CHAVES DOS SANTOS FILHO,64
PINTO ITAMARATY,65
RAIMUNDO LIRA,66
RANDOLFE RODRIGUES,67
REGINA SOUSA,68
RENAN CALHEIROS,69
RICARDO FERRAÇO,70
RICARDO FRANCO,71
ROBERTO MUNIZ,72
ROBERTO REQUIÃO,73
ROBERTO ROCHA,74
ROMÁRIO,75
ROMERO JUCÁ,76
RONALDO CAIADO,77
ROSE DE FREITAS,78
SANDRA BRAGA,79
SÉRGIO PETECÃO,80
SIMONE TEBET,81
TASSO JEREISSATI,82
TELMÁRIO MOTA,83
VALDIR RAUPP,84
VANESSA GRAZZIOTIN,85
VICENTINHO ALVES,86
VIRGINIO DE CARVALHO,87
WALDEMIR MOKA,88
WALTER PINHEIRO,89
WELLINGTON FAGUNDES,90
WILDER MORAIS,91
WIRLANDE DA LUZ,92
ZEZÉ PERRELLA,93
